method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,batch_effects_amount,batch_effects_removed,assigned
liger...46,0.3116663008032884,0.48650991806514504,0.45943112617920084,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,NA
seurat...47,0.9025406960841581,0.8309434952983374,0.9559103047773028,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
tscan...48,0.06611344119144406,0.1945460605783369,0.6752377078882708,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
sc3...49,0.9994854503812496,0.9804423941522924,0.9997751103336473,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
liger...50,0.4371645986708562,0.4823310513450682,0.6860754526061297,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,TRUE
seurat...51,0.7372470657408571,0.775899015489678,0.8222182739144149,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,FALSE
tscan...52,0.1284575147307372,0.2858949034713175,0.39822822428891225,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,FALSE
sc3...53,0.7116879814449698,0.6847707457862405,0.8062006662480871,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,FALSE
liger...54,0.24021105895916176,0.4220535501380047,0.4232718447977956,NA,NA,NA,FALSE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,FALSE
seurat...55,0.9172759380291964,0.8619373271319907,0.9372426128087159,NA,NA,NA,FALSE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
tscan...56,0.5281087155813251,0.5103833895300902,0.6642913675417327,NA,NA,NA,FALSE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
